index_label,distrito,municipio,freguesia
1,Santarém,Abrantes,Abrantes (São Vicente e São João) e Alferrarede
2,Santarém,Abrantes,Aldeia do Mato e Souto
3,Santarém,Abrantes,Alvega e Concavada
4,Santarém,Abrantes,Bemposta
5,Santarém,Abrantes,Carvalhal
6,Santarém,Abrantes,Fontes
7,Santarém,Abrantes,Martinchel
8,Santarém,Abrantes,Mouriscas
9,Santarém,Abrantes,Pego
10,Santarém,Abrantes,Rio de Moinhos
11,Santarém,Abrantes,São Facundo e Vale das Mós
12,Santarém,Abrantes,São Miguel do Rio Torto e Rossio ao Sul do Tejo
13,Santarém,Abrantes,Tramagal
14,Aveiro,Águeda,Aguada de Cima
15,Aveiro,Águeda,Águeda e Borralha
16,Aveiro,Águeda,Barrô e Aguada de Baixo
17,Aveiro,Águeda,"Belazaima do Chão, Castanheira do Vouga e Agadão"
18,Aveiro,Águeda,Fermentelos
19,Aveiro,Águeda,Macinhata do Vouga
20,Aveiro,Águeda,Préstimo e Macieira de Alcoba
21,Aveiro,Águeda,Recardães e Espinhel
22,Aveiro,Águeda,Travassô e Óis da Ribeira
23,Aveiro,Águeda,"Trofa, Segadães e Lamas do Vouga"
24,Aveiro,Águeda,Valongo do Vouga
25,Guarda,Aguiar da Beira,Aguiar da Beira e Coruche
26,Guarda,Aguiar da Beira,Carapito
27,Guarda,Aguiar da Beira,Cortiçada
28,Guarda,Aguiar da Beira,Dornelas
29,Guarda,Aguiar da Beira,Eirado
30,Guarda,Aguiar da Beira,Forninhos
31,Guarda,Aguiar da Beira,Pena Verde
32,Guarda,Aguiar da Beira,Pinheiro
33,Guarda,Aguiar da Beira,Sequeiros e Gradiz
34,Guarda,Aguiar da Beira,Souto de Aguiar da Beira e Valverde
35,Évora,Alandroal,"Alandroal (Nossa Senhora da Conceição), São Brás dos Matos (Mina do Bugalho) e Juromenha (Nossa Senhora do Loreto)"
36,Évora,Alandroal,Capelins (Santo António)
37,Évora,Alandroal,Santiago Maior
38,Évora,Alandroal,Terena (São Pedro)
39,Aveiro,Albergaria-a-Velha,Albergaria-a-Velha
40,Aveiro,Albergaria-a-Velha,Albergaria-a-Velha e Valmaior
41,Aveiro,Albergaria-a-Velha,Alquerubim
42,Aveiro,Albergaria-a-Velha,Angeja
43,Aveiro,Albergaria-a-Velha,Branca
44,Aveiro,Albergaria-a-Velha,Ribeira de Fráguas
45,Aveiro,Albergaria-a-Velha,São João de Loure e Frossos
46,Faro,Albufeira,Albufeira e Olhos de Água
47,Faro,Albufeira,Ferreiras
48,Faro,Albufeira,Guia
49,Faro,Albufeira,Paderne
50,Setúbal,Alcácer do Sal,Alcácer do Sal (Santa Maria do Castelo e Santiago) e Santa Susana
51,Setúbal,Alcácer do Sal,Comporta
52,Setúbal,Alcácer do Sal,São Martinho
53,Setúbal,Alcácer do Sal,Torrão
54,Santarém,Alcanena,Alcanena e Vila Moreira
55,Santarém,Alcanena,Bugalhos
56,Santarém,Alcanena,"Malhou, Louriceira e Espinheiro"
57,Santarém,Alcanena,Minde
58,Santarém,Alcanena,Moitas Venda
59,Santarém,Alcanena,Monsanto
60,Santarém,Alcanena,Serra de Santo António
61,Leiria,Alcobaça,Alcobaça e Vestiaria
62,Leiria,Alcobaça,Alfeizerão
63,Leiria,Alcobaça,Aljubarrota
64,Leiria,Alcobaça,Bárrio
65,Leiria,Alcobaça,Benedita
66,Leiria,Alcobaça,Cela
67,Leiria,Alcobaça,"Coz, Alpedriz e Montes"
68,Leiria,Alcobaça,Évora de Alcobaça
69,Leiria,Alcobaça,Maiorga
70,Leiria,Alcobaça,Pataias e Martingança
71,Leiria,Alcobaça,São Martinho do Porto
72,Leiria,Alcobaça,Turquel
73,Leiria,Alcobaça,Vimeiro
74,Setúbal,Alcochete,Alcochete
75,Setúbal,Alcochete,Samouco
76,Setúbal,Alcochete,São Francisco
77,Faro,Alcoutim,Alcoutim e Pereiro
78,Faro,Alcoutim,Giões
79,Faro,Alcoutim,Martim Longo
80,Faro,Alcoutim,Vaqueiros
81,Lisboa,Alenquer,Abrigada e Cabanas de Torres
82,Lisboa,Alenquer,Aldeia Galega da Merceana e Aldeia Gavinha
83,Lisboa,Alenquer,Alenquer (Santo Estêvão e Triana)
84,Lisboa,Alenquer,Carnota
85,Lisboa,Alenquer,Carregado e Cadafais
86,Lisboa,Alenquer,Meca
87,Lisboa,Alenquer,Olhalvo
88,Lisboa,Alenquer,Ota
89,Lisboa,Alenquer,Ribafria e Pereiro de Palhacana
90,Lisboa,Alenquer,Ventosa
91,Lisboa,Alenquer,Vila Verde dos Francos
92,Bragança,Alfândega da Fé,"Agrobom, Saldonha e Vale Pereiro"
93,Bragança,Alfândega da Fé,Alfândega da Fé
94,Bragança,Alfândega da Fé,Cerejais
95,Bragança,Alfândega da Fé,"Eucisia, Gouveia e Valverde"
96,Bragança,Alfândega da Fé,Ferradosa e Sendim da Serra
97,Bragança,Alfândega da Fé,Gebelim e Soeima
98,Bragança,Alfândega da Fé,Parada e Sendim da Ribeira
99,Bragança,Alfândega da Fé,Pombal e Vales
100,Bragança,Alfândega da Fé,Sambade
101,Bragança,Alfândega da Fé,Vilar Chão
102,Bragança,Alfândega da Fé,Vilarelhos
103,Bragança,Alfândega da Fé,Vilares de Vilariça
104,Vila Real,Alijó,Alijó
105,Vila Real,Alijó,Carlão e Amieiro
106,Vila Real,Alijó,Castedo e Cotas
107,Vila Real,Alijó,Favaios
108,Vila Real,Alijó,Pegarinhos
109,Vila Real,Alijó,Pinhão
110,Vila Real,Alijó,Pópulo e Ribalonga
111,Vila Real,Alijó,Sanfins do Douro
112,Vila Real,Alijó,Santa Eugénia
113,Vila Real,Alijó,São Mamede de Ribatua
